	reporter	partner	transport	Tradelane	year	FLOW	cargo	KG	EUR	ExIm
26	AT	BY	Air	AT-BY	2018	2	 60 - KNITTED OR CROCHETED FABRICS	151	12191	Export
27	AT	BY	Air	AT-BY	2018	2	 61 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED	5	165	Export
28	AT	BY	Air	AT-BY	2018	2	 62 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED	2	99	Export
29	AT	BY	Air	AT-BY	2018	2	 63 - OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS	12	458	Export
30	AT	BY	Air	AT-BY	2018	2	 64 - FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES	2	15	Export
31	AT	BY	Air	AT-BY	2018	2	 66 - UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF	44	3000	Export
32	AT	BY	Air	AT-BY	2018	2	 68 - ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS	32	2592	Export
33	AT	BY	Air	AT-BY	2018	2	 69 - CERAMIC PRODUCTS	0	3	Export
34	AT	BY	Air	AT-BY	2018	2	 7 - EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS	35	22	Export
35	AT	BY	Air	AT-BY	2018	2	 70 - GLASS AND GLASSWARE	13	367	Export
36	AT	BY	Air	AT-BY	2018	2	 71 - NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN	34	3893	Export
37	AT	BY	Air	AT-BY	2018	2	 72 - IRON AND STEEL	40	276	Export
38	AT	BY	Air	AT-BY	2018	2	 73 - ARTICLES OF IRON OR STEEL	312	23612	Export
39	AT	BY	Air	AT-BY	2018	2	 74 - COPPER AND ARTICLES THEREOF	15	1865	Export
40	AT	BY	Air	AT-BY	2018	2	 76 - ALUMINIUM AND ARTICLES THEREOF	521	7070	Export
41	AT	BY	Air	AT-BY	2018	2	 81 - OTHER BASE METALS; CERMETS; ARTICLES THEREOF	51	5227	Export
42	AT	BY	Air	AT-BY	2018	2	 82 - TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL	1715	321347	Export
43	AT	BY	Air	AT-BY	2018	2	 83 - MISCELLANEOUS ARTICLES OF BASE METAL	63	3516	Export
44	AT	BY	Air	AT-BY	2018	2	 85 - ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES	24057	2225406	Export
45	AT	BY	Air	AT-BY	2018	2	 87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF	40	3314	Export
46	AT	BY	Air	AT-BY	2018	2	 88 - AIRCRAFT, SPACECRAFT, AND PARTS THEREOF	2	276	Export
47	AT	BY	Air	AT-BY	2018	2	 90 - OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF	1391	518161	Export
48	AT	BY	Air	AT-BY	2018	2	 91 - CLOCKS AND WATCHES AND PARTS THEREOF	871	97803	Export
49	AT	BY	Air	AT-BY	2018	2	 94 - FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS	321	4216	Export
50	AT	BY	Air	AT-BY	2018	2	 95 - TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF	183	5822	Export
51	AT	BY	Air	AT-BY	2018	2	 96 - MISCELLANEOUS MANUFACTURED ARTICLES	37	2575	Export
52	AT	BY	Air	AT-BY	2018	2	 97 - WORKS OF ART, COLLECTORS' PIECES AND ANTIQUES	0	116	Export
53	AT	BY	Air	AT-BY	2019	2	10 - CEREALS	308	208	Export
54	AT	BY	Air	AT-BY	2019	2	48 - PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD	157	1149	Export
55	AT	BY	Air	AT-BY	2019	2	56 - WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF	0	49	Export
56	AT	BY	Air	AT-BY	2019	2	65 - HEADGEAR AND PARTS THEREOF	0	17	Export
57	AT	BY	Air	AT-BY	2019	2	84 - NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF	5108	1181843	Export
58	AT	BY	Air	AT-BY	2019	2	 12 - OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER	80	87	Export
59	AT	BY	Air	AT-BY	2019	2	 14 - VEGETABLE PLAITING MATERIALS; VEGETABLE PRODUCTS NOT ELSEWHERE SPECIFIED OR INCLUDED	0	1	Export
60	AT	BY	Air	AT-BY	2019	2	 19 - PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS	2	30	Export
61	AT	BY	Air	AT-BY	2019	2	 20 - PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS	1	2	Export
62	AT	BY	Air	AT-BY	2019	2	 21 - MISCELLANEOUS EDIBLE PREPARATIONS	9	198	Export
63	AT	BY	Air	AT-BY	2019	2	 22 - BEVERAGES, SPIRITS AND VINEGAR	1	2	Export
64	AT	BY	Air	AT-BY	2019	2	 23 - RESIDUES AND WASTE FROM THE FOOD INDUSTRIES; PREPARED ANIMAL FODDER	41400	30330	Export
65	AT	BY	Air	AT-BY	2019	2	 28 - INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES	1403	40404	Export
66	AT	BY	Air	AT-BY	2019	2	 29 - ORGANIC CHEMICALS	38	1684	Export
67	AT	BY	Air	AT-BY	2019	2	 30 - PHARMACEUTICAL PRODUCTS	467	131225	Export
68	AT	BY	Air	AT-BY	2019	2	 31 - FERTILISERS	0	184	Export
69	AT	BY	Air	AT-BY	2019	2	 32 - TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS	50	16718	Export
70	AT	BY	Air	AT-BY	2019	2	 33 - ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS	131	41284	Export
71	AT	BY	Air	AT-BY	2019	2	 34 - SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER	7	1792	Export
72	AT	BY	Air	AT-BY	2019	2	 35 - ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES	13	530	Export
73	AT	BY	Air	AT-BY	2019	2	 38 - MISCELLANEOUS CHEMICAL PRODUCTS	286	111531	Export
74	AT	BY	Air	AT-BY	2019	2	 39 - PLASTICS AND ARTICLES THEREOF	497	37912	Export
75	AT	BY	Air	AT-BY	2019	2	 40 - RUBBER AND ARTICLES THEREOF	196	19876	Export
76	AT	BY	Air	AT-BY	2019	2	 42 - ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)	75	4566	Export
77	AT	BY	Air	AT-BY	2019	2	 49 - PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS	143	740	Export
78	AT	BY	Air	AT-BY	2019	2	 58 - SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY	91	5168	Export
79	AT	BY	Air	AT-BY	2019	2	 59 - IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE	44	12311	Export
80	AT	BY	Air	AT-BY	2019	2	 60 - KNITTED OR CROCHETED FABRICS	13	1344	Export
81	AT	BY	Air	AT-BY	2019	2	 61 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED	11	4529	Export
82	AT	BY	Air	AT-BY	2019	2	 62 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED	37	8238	Export
83	AT	BY	Air	AT-BY	2019	2	 63 - OTHER MADE-UP TEXTILE ARTICLES; SETS; WORN CLOTHING AND WORN TEXTILE ARTICLES; RAGS	14	1443	Export
84	AT	BY	Air	AT-BY	2019	2	 64 - FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES	0	412	Export
85	AT	BY	Air	AT-BY	2019	2	 66 - UMBRELLAS, SUN UMBRELLAS, WALKING STICKS, SEAT-STICKS, WHIPS, RIDING-CROPS AND PARTS THEREOF	1	49	Export
86	AT	BY	Air	AT-BY	2019	2	 68 - ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS	37	3150	Export
87	AT	BY	Air	AT-BY	2019	2	 7 - EDIBLE VEGETABLES AND CERTAIN ROOTS AND TUBERS	14	14	Export
88	AT	BY	Air	AT-BY	2019	2	 70 - GLASS AND GLASSWARE	18	2429	Export
89	AT	BY	Air	AT-BY	2019	2	 71 - NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN	70	7964	Export
90	AT	BY	Air	AT-BY	2019	2	 73 - ARTICLES OF IRON OR STEEL	322	27126	Export
91	AT	BY	Air	AT-BY	2019	2	 74 - COPPER AND ARTICLES THEREOF	1	320	Export
92	AT	BY	Air	AT-BY	2019	2	 76 - ALUMINIUM AND ARTICLES THEREOF	213	4984	Export
93	AT	BY	Air	AT-BY	2019	2	 81 - OTHER BASE METALS; CERMETS; ARTICLES THEREOF	131	26854	Export
94	AT	BY	Air	AT-BY	2019	2	 82 - TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL	2676	455486	Export
95	AT	BY	Air	AT-BY	2019	2	 83 - MISCELLANEOUS ARTICLES OF BASE METAL	104	12819	Export
96	AT	BY	Air	AT-BY	2019	2	 85 - ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES	2390	673730	Export
97	AT	BY	Air	AT-BY	2019	2	 86 - RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS	12	501	Export
98	AT	BY	Air	AT-BY	2019	2	 87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF	229	14334	Export
99	AT	BY	Air	AT-BY	2019	2	 88 - AIRCRAFT, SPACECRAFT, AND PARTS THEREOF	0	1711	Export
100	AT	BY	Air	AT-BY	2019	2	 90 - OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF	2595	1195651	Export
101	AT	BY	Air	AT-BY	2019	2	 91 - CLOCKS AND WATCHES AND PARTS THEREOF	178	24688	Export
102	AT	BY	Air	AT-BY	2019	2	 92 - MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES	21	9072	Export
103	AT	BY	Air	AT-BY	2019	2	 93 - ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF	4	718	Export
104	AT	BY	Air	AT-BY	2019	2	 94 - FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS	13	835	Export
105	AT	BY	Air	AT-BY	2019	2	 95 - TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF	18	1476	Export
106	AT	BY	Air	AT-BY	2019	2	 96 - MISCELLANEOUS MANUFACTURED ARTICLES	43	3653	Export
107	AT	BY	Air	AT-BY	2020	2	10 - CEREALS	479	314	Export
108	AT	BY	Air	AT-BY	2020	2	17 - SUGARS AND SUGAR CONFECTIONERY	0	52	Export
109	AT	BY	Air	AT-BY	2020	2	48 - PAPER AND PAPERBOARD; ARTICLES OF PAPER PULP, OF PAPER OR OF PAPERBOARD	62	2325	Export
110	AT	BY	Air	AT-BY	2020	2	56 - WADDING, FELT AND NONWOVENS; SPECIAL YARNS; TWINE, CORDAGE, ROPES AND CABLES AND ARTICLES THEREOF	1	474	Export
111	AT	BY	Air	AT-BY	2020	2	84 - NUCLEAR REACTORS, BOILERS, MACHINERY AND MECHANICAL APPLIANCES; PARTS THEREOF	4955	949280	Export
112	AT	BY	Air	AT-BY	2020	2	9 - COFFEE, TEA, MATÉ AND SPICES	0	5	Export
113	AT	BY	Air	AT-BY	2020	2	 12 - OIL SEEDS AND OLEAGINOUS FRUITS; MISCELLANEOUS GRAINS, SEEDS AND FRUIT; INDUSTRIAL OR MEDICINAL PLANTS; STRAW AND FODDER	143	666	Export
114	AT	BY	Air	AT-BY	2020	2	 18 - COCOA AND COCOA PREPARATIONS	2	297	Export
115	AT	BY	Air	AT-BY	2020	2	 19 - PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS	0	12	Export
116	AT	BY	Air	AT-BY	2020	2	 20 - PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS	2	1	Export
117	AT	BY	Air	AT-BY	2020	2	 21 - MISCELLANEOUS EDIBLE PREPARATIONS	338	28608	Export
118	AT	BY	Air	AT-BY	2020	2	 22 - BEVERAGES, SPIRITS AND VINEGAR	16	20	Export
119	AT	BY	Air	AT-BY	2020	2	 28 - INORGANIC CHEMICALS; ORGANIC OR INORGANIC COMPOUNDS OF PRECIOUS METALS, OF RARE-EARTH METALS, OF RADIOACTIVE ELEMENTS OR OF ISOTOPES	36	1694	Export
120	AT	BY	Air	AT-BY	2020	2	 29 - ORGANIC CHEMICALS	263	26436	Export
121	AT	BY	Air	AT-BY	2020	2	 30 - PHARMACEUTICAL PRODUCTS	224	40348	Export
122	AT	BY	Air	AT-BY	2020	2	 32 - TANNING OR DYEING EXTRACTS; TANNINS AND THEIR DERIVATIVES; DYES, PIGMENTS AND OTHER COLOURING MATTER; PAINTS AND VARNISHES; PUTTY AND OTHER MASTICS; INKS	94	7410	Export
123	AT	BY	Air	AT-BY	2020	2	 33 - ESSENTIAL OILS AND RESINOIDS; PERFUMERY, COSMETIC OR TOILET PREPARATIONS	71	29063	Export
124	AT	BY	Air	AT-BY	2020	2	 34 - SOAP, ORGANIC SURFACE-ACTIVE AGENTS, WASHING PREPARATIONS, LUBRICATING PREPARATIONS, ARTIFICIAL WAXES, PREPARED WAXES, POLISHING OR SCOURING PREPARATIONS, CANDLES AND SIMILAR ARTICLES, MODELLING PASTES, ‘DENTAL WAXES’ AND DENTAL PREPARATIONS WITH A BASIS OF PLASTER	73	5210	Export
125	AT	BY	Air	AT-BY	2020	2	 35 - ALBUMINOIDAL SUBSTANCES; MODIFIED STARCHES; GLUES; ENZYMES	53	2891	Export
126	AT	BY	Air	AT-BY	2020	2	 38 - MISCELLANEOUS CHEMICAL PRODUCTS	1203	207043	Export
127	AT	BY	Air	AT-BY	2020	2	 39 - PLASTICS AND ARTICLES THEREOF	805	57250	Export
128	AT	BY	Air	AT-BY	2020	2	 40 - RUBBER AND ARTICLES THEREOF	130	18335	Export
129	AT	BY	Air	AT-BY	2020	2	 42 - ARTICLES OF LEATHER; SADDLERY AND HARNESS; TRAVEL GOODS, HANDBAGS AND SIMILAR CONTAINERS; ARTICLES OF ANIMAL GUT (OTHER THAN SILKWORM GUT)	13	385	Export
130	AT	BY	Air	AT-BY	2020	2	 44 - WOOD AND ARTICLES OF WOOD; WOOD CHARCOAL	12	56	Export
131	AT	BY	Air	AT-BY	2020	2	 49 - PRINTED BOOKS, NEWSPAPERS, PICTURES AND OTHER PRODUCTS OF THE PRINTING INDUSTRY; MANUSCRIPTS, TYPESCRIPTS AND PLANS	16	890	Export
132	AT	BY	Air	AT-BY	2020	2	 58 - SPECIAL WOVEN FABRICS; TUFTED TEXTILE FABRICS; LACE; TAPESTRIES; TRIMMINGS; EMBROIDERY	12	644	Export
133	AT	BY	Air	AT-BY	2020	2	 59 - IMPREGNATED, COATED, COVERED OR LAMINATED TEXTILE FABRICS; TEXTILE ARTICLES OF A KIND SUITABLE FOR INDUSTRIAL USE	37	1922	Export
134	AT	BY	Air	AT-BY	2020	2	 61 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, KNITTED OR CROCHETED	21	721	Export
135	AT	BY	Air	AT-BY	2020	2	 62 - ARTICLES OF APPAREL AND CLOTHING ACCESSORIES, NOT KNITTED OR CROCHETED	0	164	Export
136	AT	BY	Air	AT-BY	2020	2	 64 - FOOTWEAR, GAITERS AND THE LIKE; PARTS OF SUCH ARTICLES	12	247	Export
137	AT	BY	Air	AT-BY	2020	2	 68 - ARTICLES OF STONE, PLASTER, CEMENT, ASBESTOS, MICA OR SIMILAR MATERIALS	0	105	Export
138	AT	BY	Air	AT-BY	2020	2	 69 - CERAMIC PRODUCTS	0	15	Export
139	AT	BY	Air	AT-BY	2020	2	 70 - GLASS AND GLASSWARE	78	10956	Export
140	AT	BY	Air	AT-BY	2020	2	 71 - NATURAL OR CULTURED PEARLS, PRECIOUS OR SEMI-PRECIOUS STONES, PRECIOUS METALS, METALS CLAD WITH PRECIOUS METAL, AND ARTICLES THEREOF; IMITATION JEWELLERY; COIN	61	6072	Export
141	AT	BY	Air	AT-BY	2020	2	 72 - IRON AND STEEL	300	2854	Export
142	AT	BY	Air	AT-BY	2020	2	 73 - ARTICLES OF IRON OR STEEL	1900	40847	Export
143	AT	BY	Air	AT-BY	2020	2	 74 - COPPER AND ARTICLES THEREOF	0	20	Export
144	AT	BY	Air	AT-BY	2020	2	 76 - ALUMINIUM AND ARTICLES THEREOF	177	5540	Export
145	AT	BY	Air	AT-BY	2020	2	 82 - TOOLS, IMPLEMENTS, CUTLERY, SPOONS AND FORKS, OF BASE METAL; PARTS THEREOF OF BASE METAL	3425	525672	Export
146	AT	BY	Air	AT-BY	2020	2	 83 - MISCELLANEOUS ARTICLES OF BASE METAL	62	4320	Export
147	AT	BY	Air	AT-BY	2020	2	 85 - ELECTRICAL MACHINERY AND EQUIPMENT AND PARTS THEREOF; SOUND RECORDERS AND REPRODUCERS, TELEVISION IMAGE AND SOUND RECORDERS AND REPRODUCERS, AND PARTS AND ACCESSORIES OF SUCH ARTICLES	1059	270239	Export
148	AT	BY	Air	AT-BY	2020	2	 86 - RAILWAY OR TRAMWAY LOCOMOTIVES, ROLLING STOCK AND PARTS THEREOF; RAILWAY OR TRAMWAY TRACK FIXTURES AND FITTINGS AND PARTS THEREOF; MECHANICAL (INCLUDING ELECTROMECHANICAL) TRAFFIC SIGNALLING EQUIPMENT OF ALL KINDS	106	7805	Export
149	AT	BY	Air	AT-BY	2020	2	 87 - VEHICLES OTHER THAN RAILWAY OR TRAMWAY ROLLING STOCK, AND PARTS AND ACCESSORIES THEREOF	1809	9919	Export
150	AT	BY	Air	AT-BY	2020	2	 88 - AIRCRAFT, SPACECRAFT, AND PARTS THEREOF	271	28309	Export
151	AT	BY	Air	AT-BY	2020	2	 90 - OPTICAL, PHOTOGRAPHIC, CINEMATOGRAPHIC, MEASURING, CHECKING, PRECISION, MEDICAL OR SURGICAL INSTRUMENTS AND APPARATUS; PARTS AND ACCESSORIES THEREOF	1519	783385	Export
152	AT	BY	Air	AT-BY	2020	2	 91 - CLOCKS AND WATCHES AND PARTS THEREOF	78	15663	Export
153	AT	BY	Air	AT-BY	2020	2	 92 - MUSICAL INSTRUMENTS; PARTS AND ACCESSORIES OF SUCH ARTICLES	18	6713	Export
154	AT	BY	Air	AT-BY	2020	2	 93 - ARMS AND AMMUNITION; PARTS AND ACCESSORIES THEREOF	0	330	Export
155	AT	BY	Air	AT-BY	2020	2	 94 - FURNITURE; BEDDING, MATTRESSES, MATTRESS SUPPORTS, CUSHIONS AND SIMILAR STUFFED FURNISHINGS; LAMPS AND LIGHTING FITTINGS, NOT ELSEWHERE SPECIFIED OR INCLUDED; ILLUMINATED SIGNS, ILLUMINATED NAMEPLATES AND THE LIKE; PREFABRICATED BUILDINGS	318	11399	Export
156	AT	BY	Air	AT-BY	2020	2	 95 - TOYS, GAMES AND SPORTS REQUISITES; PARTS AND ACCESSORIES THEREOF	17	3421	Export
157	AT	BY	Air	AT-BY	2020	2	 96 - MISCELLANEOUS MANUFACTURED ARTICLES	179	10214	Export
158	AT	BY	Air	AT-BY	2021	2	10 - CEREALS	222	433	Export
159	AT	BY	Air	AT-BY	2021	2	15 - ANIMAL OR VEGETABLE FATS AND OILS AND THEIR CLEAVAGE PRODUCTS; PREPARED EDIBLE FATS; ANIMAL OR VEGETABLE WAXES	0	45	Export
160	AT	BY	Air	AT-BY	2021	2	17 - SUGARS AND SUGAR CONFECTIONERY	0	4	Export
161	AT	BY	Air	AT-BY	2021	2	25 - SALT; SULPHUR; EARTHS AND STONE; PLASTERING MATERIALS, LIME AND CEMENT	2	42	Export
